Category: All categories

Region,Milkshake: (2/1/24 - 2/28/25),Break up: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25)
South Carolina,23%,12%,65%
North Carolina,23%,13%,64%
Alabama,23%,13%,64%
Kentucky,23%,14%,63%
Tennessee,22%,13%,65%
Utah,21%,13%,66%
Virginia,24%,13%,63%
Ohio,23%,14%,63%
West Virginia,24%,14%,62%
Delaware,25%,13%,62%
Illinois,23%,14%,63%
Oklahoma,19%,12%,69%
Rhode Island,24%,12%,64%
Georgia,23%,14%,63%
Nevada,20%,12%,68%
Indiana,21%,14%,65%
Pennsylvania,23%,15%,62%
Connecticut,22%,13%,65%
Arkansas,21%,13%,66%
Idaho,20%,12%,68%
Missouri,20%,14%,66%
Michigan,20%,14%,66%
Florida,23%,14%,63%
Kansas,19%,13%,68%
Maryland,23%,14%,63%
Arizona,20%,13%,67%
Louisiana,21%,14%,65%
Mississippi,19%,13%,68%
Wisconsin,20%,13%,67%
Texas,19%,12%,69%
New Jersey,23%,15%,62%
Iowa,20%,13%,67%
California,20%,13%,67%
North Dakota,19%,12%,69%
Nebraska,18%,13%,69%
Minnesota,19%,13%,68%
New York,22%,13%,65%
New Hampshire,21%,13%,66%
New Mexico,20%,13%,67%
Colorado,19%,12%,69%
Oregon,18%,12%,70%
Massachusetts,22%,15%,63%
Washington,18%,13%,69%
South Dakota,14%,11%,75%
Wyoming,16%,13%,71%
Maine,17%,12%,71%
Vermont,17%,15%,68%
Montana,14%,11%,75%
Alaska,15%,12%,73%
Hawaii,14%,11%,75%
District of Columbia,18%,13%,69%
